ID,Name,Parameter,Language,Frequency,Confidence,References
57A-hun,Possessive suffixes,Position of Pronominal Possessive Affixes,Hungarian,,,Benkö and Imre 1972
58A-hun,Absent,Obligatory Possessive Inflection,Hungarian,,,Kenesei et al. 1998
58B-hun,None reported,Number of Possessive Nouns,Hungarian,,,Kenesei et al. 1998
59A-hun,No possessive classification,Possessive Classification,Hungarian,,,Kenesei et al. 1998
60A-hun,Highly differentiated,"Genitives, Adjectives and Relative Clauses",Hungarian,,,
61A-hun,Without marking,Adjectives without Nouns,Hungarian,,,Gil 1994a
62A-hun,Restricted,Action Nominal Constructions,Hungarian,,,
63A-hun,'And' different from 'with',Noun Phrase Conjunction,Hungarian,,,Ginter and Tarnói 1991
64A-hun,Identity,Nominal and Verbal Conjunction,Hungarian,,,Kenesei et al. 1998
65A-hun,No grammatical marking,Perfective/Imperfective Aspect,Hungarian,,,Dahl 1985
66A-hun,"Present, no remoteness distinctions",The Past Tense,Hungarian,,,Dahl 1985
67A-hun,No inflectional future,The Future Tense,Hungarian,,,Dahl 1985
68A-hun,No perfect,The Perfect,Hungarian,,,Dahl 1985
69A-hun,Tense-aspect suffixes,Position of Tense-Aspect Affixes,Hungarian,,,Benkö and Imre 1972
70A-hun,No second-person imperatives,The Morphological Imperative,Hungarian,,,Kenesei et al. 1998
71A-hun,Normal imperative + special negative,The Prohibitive,Hungarian,,,Kenesei et al. 1998
72A-hun,Maximal system,Imperative-Hortative Systems,Hungarian,,,Kenesei et al. 1998
73A-hun,Inflectional optative absent,The Optative,Hungarian,,,Kenesei et al. 1998
74A-hun,Affixes on verbs,Situational Possibility,Hungarian,,,Kenesei et al. 1998
